recipe_id,recipe_name,ingredient_id,ingredient_name,importance,quantity
16,Loaded Vegetable Potato Skins,802,Bell Pepper,secondary,100g
16,Loaded Vegetable Potato Skins,801,Spinach,secondary,100g
16,Loaded Vegetable Potato Skins,1503,Peanut,optional,50g
17,Tropical Shrimp Coconut Rice,703,Shrimp,core,300g
17,Tropical Shrimp Coconut Rice,901,Rice,core,200g
17,Tropical Shrimp Coconut Rice,203,Coconut Milk,core,250ml
17,Tropical Shrimp Coconut Rice,1202,Orange,secondary,150g
17,Tropical Shrimp Coconut Rice,1103,Mint,optional,10g
18,Vegan Lentil and Vegetable Stew,702,Tofu,core,250g
18,Vegan Lentil and Vegetable Stew,801,Spinach,core,200g
18,Vegan Lentil and Vegetable Stew,804,Zucchini,core,150g
18,Vegan Lentil and Vegetable Stew,1105,Cumin,secondary,5g
18,Vegan Lentil and Vegetable Stew,1104,Paprika,secondary,5g
18,Vegan Lentil and Vegetable Stew,1102,Cilantro,optional,15g
19,Apple Almond Breakfast Parfait,1201,Apple,core,200g
19,Apple Almond Breakfast Parfait,1501,Almonds,core,100g
19,Apple Almond Breakfast Parfait,1002,Milk,core,250ml
19,Apple Almond Breakfast Parfait,1401,Sugar,secondary,30g
19,Apple Almond Breakfast Parfait,1502,Chia Seeds,optional,15g
20,Mediterranean Beef and Quinoa Pasta,701,Beef,core,400g
20,Mediterranean Beef and Quinoa Pasta,902,Pasta,core,250g
20,Mediterranean Beef and Quinoa Pasta,803,Eggplant,secondary,150g
20,Mediterranean Beef and Quinoa Pasta,1601,Quinoa,secondary,100g
20,Mediterranean Beef and Quinoa Pasta,1103,Mint,optional,10g
20,Mediterranean Beef and Quinoa Pasta,1303,Mustard,secondary,20g
21,Protein-Packed Chickpea Power Bowl,1603,Chickpeas,core,250g
21,Protein-Packed Chickpea Power Bowl,903,Potato,core,200g
21,Protein-Packed Chickpea Power Bowl,801,Spinach,core,150g
21,Protein-Packed Chickpea Power Bowl,1605,Tahini,secondary,30ml
21,Protein-Packed Chickpea Power Bowl,1103,Mint,optional,10g
21,Protein-Packed Chickpea Power Bowl,302,Olive Oil,core,20ml
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,802,Bell Pepper,core,250g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1602,Lentils,core,200g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1202,Orange,secondary,150g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,302,Olive Oil,core,40ml
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1604,Nutritional Yeast,secondary,10g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1104,Paprika,secondary,10g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1105,Cumin,secondary,10g
23,Coconut Seitan Vegetable Curry,702,Tofu,core,350g
23,Coconut Seitan Vegetable Curry,203,Coconut Milk,core,300ml
23,Coconut Seitan Vegetable Curry,804,Zucchini,core,200g
23,Coconut Seitan Vegetable Curry,1503,Peanut,secondary,30g
23,Coconut Seitan Vegetable Curry,1103,Mint,optional,10g
23,Coconut Seitan Vegetable Curry,302,Olive Oil,secondary,25ml
24,Mediterranean Halloumi and Roasted Vegetable Salad,1001,Cheese,core,250g
24,Mediterranean Halloumi and Roasted Vegetable Salad,1202,Orange,secondary,150g
24,Mediterranean Halloumi and Roasted Vegetable Salad,102,Cucumber,core,100g
24,Mediterranean Halloumi and Roasted Vegetable Salad,103,Red Onion,secondary,50g
24,Mediterranean Halloumi and Roasted Vegetable Salad,302,Olive Oil,core,30ml
24,Mediterranean Halloumi and Roasted Vegetable Salad,1302,Vinegar,secondary,20ml
25,Spicy Tempeh and Bok Choy Stir Fry,702,Tofu,core,250g
25,Spicy Tempeh and Bok Choy Stir Fry,1201,Apple,core,200g
25,Spicy Tempeh and Bok Choy Stir Fry,804,Zucchini,core,150g
25,Spicy Tempeh and Bok Choy Stir Fry,1301,Soy Sauce,secondary,30ml
25,Spicy Tempeh and Bok Choy Stir Fry,602,Lemon,secondary,20ml
25,Spicy Tempeh and Bok Choy Stir Fry,1101,Basil,optional,10g
26,Protein-Packed Black Bean and Avocado Bowl,1603,Chickpeas,core,300g
26,Protein-Packed Black Bean and Avocado Bowl,1203,Avocado,core,200g
26,Protein-Packed Black Bean and Avocado Bowl,902,Pasta,core,150g
26,Protein-Packed Black Bean and Avocado Bowl,302,Olive Oil,core,40ml
26,Protein-Packed Black Bean and Avocado Bowl,1102,Cilantro,optional,5g
27,Mediterranean Feta and Vegetable Feast,1001,Cheese,core,250g
27,Mediterranean Feta and Vegetable Feast,102,Cucumber,core,200g
27,Mediterranean Feta and Vegetable Feast,801,Spinach,secondary,150g
27,Mediterranean Feta and Vegetable Feast,302,Olive Oil,core,30ml
27,Mediterranean Feta and Vegetable Feast,1302,Vinegar,secondary,20ml
27,Mediterranean Feta and Vegetable Feast,1102,Cilantro,optional,10g
28,Spicy Tempeh and Butternut Squash Curry,702,Tofu,core,350g
28,Spicy Tempeh and Butternut Squash Curry,203,Coconut Milk,core,300ml
28,Spicy Tempeh and Butternut Squash Curry,804,Zucchini,core,250g
28,Spicy Tempeh and Butternut Squash Curry,1503,Peanut,secondary,40g
28,Spicy Tempeh and Butternut Squash Curry,1102,Cilantro,optional,5g
28,Spicy Tempeh and Butternut Squash Curry,302,Olive Oil,secondary,25ml
29,Roasted Vegetable and Tempeh Medley,702,Tofu,core,300g
29,Roasted Vegetable and Tempeh Medley,805,Carrot,core,200g
29,Roasted Vegetable and Tempeh Medley,804,Zucchini,core,150g
29,Roasted Vegetable and Tempeh Medley,302,Olive Oil,core,35ml
29,Roasted Vegetable and Tempeh Medley,1104,Paprika,secondary,5g
29,Roasted Vegetable and Tempeh Medley,1105,Cumin,secondary,5g
29,Roasted Vegetable and Tempeh Medley,1102,Cilantro,optional,10g
30,Protein-Rich Seitan and Vegetable Stir Fry,702,Tofu,core,250g
30,Protein-Rich Seitan and Vegetable Stir Fry,1201,Apple,core,200g
30,Protein-Rich Seitan and Vegetable Stir Fry,804,Zucchini,core,150g
30,Protein-Rich Seitan and Vegetable Stir Fry,1301,Soy Sauce,secondary,30ml
30,Protein-Rich Seitan and Vegetable Stir Fry,202,Ginger,secondary,20g
30,Protein-Rich Seitan and Vegetable Stir Fry,1101,Basil,optional,10g
