recipe_name,recipe_data
Mediterranean Lamb Salad,"{'ingredients': ['Lamb', 'Spinach', 'Cucumber', 'Red Onion', 'Vinegar', 'Basil'], 'quantities': ['400g', '150g', '100g', '50g', '30ml', '10g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'secondary', 'optional']}"
Mediterranean Lamb with Roasted Vegetables,"{'ingredients': ['Lamb', 'Eggplant', 'Zucchini', 'Carrot', 'Cilantro', 'Paprika'], 'quantities': ['500g', '250g', '200g', '150g', '15g', '5g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'secondary', 'secondary']}"
Mediterranean Tomato Cucumber Salad,"{'ingredients': ['Tomato', 'Cucumber', 'Red Onion', 'Olive Oil'], 'quantities': ['200g', '150g', '50g', '30ml'], 'importance_levels': ['core', 'core', 'secondary', 'secondary']}"
Protein-Packed Black Bean and Avocado Bowl,"{'ingredients': ['Chickpeas', 'Avocado', 'Pasta', 'Olive Oil', 'Cilantro'], 'quantities': ['300g', '200g', '150g', '40ml', '5g'], 'importance_levels': ['core', 'core', 'core', 'core', 'optional']}"
Protein-Packed Chickpea Power Bowl,"{'ingredients': ['Chickpeas', 'Potato', 'Spinach', 'Tahini', 'Mint', 'Olive Oil'], 'quantities': ['250g', '200g', '150g', '30ml', '10g', '20ml'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'optional', 'core']}"
Protein-Rich Seitan and Vegetable Stir Fry,"{'ingredients': ['Tofu', 'Apple', 'Zucchini', 'Soy Sauce', 'Ginger', 'Basil'], 'quantities': ['250g', '200g', '150g', '30ml', '20g', '10g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'secondary', 'optional']}"
Roasted Vegetable and Tempeh Medley,"{'ingredients': ['Tofu', 'Carrot', 'Zucchini', 'Olive Oil', 'Paprika', 'Cumin', 'Cilantro'], 'quantities': ['300g', '200g', '150g', '35ml', '5g', '5g', '10g'], 'importance_levels': ['core', 'core', 'core', 'core', 'secondary', 'secondary', 'optional']}"
Spicy Mediterranean Roasted Vegetable and Lentil Medley,"{'ingredients': ['Bell Pepper', 'Lentils', 'Orange', 'Olive Oil', 'Nutritional Yeast', 'Paprika', 'Cumin'], 'quantities': ['250g', '200g', '150g', '40ml', '10g', '10g', '10g'], 'importance_levels': ['core', 'core', 'secondary', 'core', 'secondary', 'secondary', 'secondary']}"
Spicy Tempeh and Bok Choy Stir Fry,"{'ingredients': ['Tofu', 'Apple', 'Zucchini', 'Soy Sauce', 'Lemon', 'Basil'], 'quantities': ['250g', '200g', '150g', '30ml', '20ml', '10g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'secondary', 'optional']}"
Spicy Tempeh and Butternut Squash Curry,"{'ingredients': ['Tofu', 'Coconut Milk', 'Zucchini', 'Peanut', 'Cilantro', 'Olive Oil'], 'quantities': ['350g', '300ml', '250g', '40g', '5g', '25ml'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'optional', 'secondary']}"
Spicy Tofu and Bell Pepper Curry,"{'ingredients': ['Tofu', 'Bell Pepper', 'Coconut Milk', 'Paprika', 'Cumin', 'Cilantro'], 'quantities': ['350g', '200g', '300ml', '10g', '5g', '15g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'secondary', 'optional']}"
Spinach and Tofu Stir Fry,"{'ingredients': ['Tofu', 'Spinach', 'Bell Pepper', 'Basil', 'Soy Sauce'], 'quantities': ['300g', '200g', '100g', '10g', '30ml'], 'importance_levels': ['core', 'core', 'secondary', 'secondary', 'secondary']}"
Tropical Shrimp Coconut Rice,"{'ingredients': ['Shrimp', 'Rice', 'Coconut Milk', 'Orange', 'Mint'], 'quantities': ['300g', '200g', '250ml', '150g', '10g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'optional']}"
Vegan Lentil and Vegetable Stew,"{'ingredients': ['Tofu', 'Spinach', 'Zucchini', 'Cumin', 'Paprika', 'Cilantro'], 'quantities': ['250g', '200g', '150g', '5g', '5g', '15g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'secondary', 'optional']}"
Vegetable Medley Roast,"{'ingredients': ['Mixed Vegetables', 'Olive Oil', 'Curry Powder', 'Garlic'], 'quantities': ['400g', '50ml', '10g', '5g'], 'importance_levels': ['core', 'core', 'secondary', 'secondary']}"
Vegetarian Potato and Cheese Bake,"{'ingredients': ['Potato', 'Cheese', 'Spinach', 'Cumin', 'Flour'], 'quantities': ['400g', '200g', '150g', '5g', '50g'], 'importance_levels': ['core', 'core', 'secondary', 'secondary', 'optional']}"
Zucchini Noodle Shrimp Alfredo,"{'ingredients': ['Shrimp', 'Zucchini', 'Cream', 'Cheese', 'Basil'], 'quantities': ['300g', '400g', '200ml', '100g', '15g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'secondary']}"
